Frequency	P1_Exp	P2_Exp	P3_Exp	P4_Exp	P5_Exp
1.00	102.72	95.24	95.88	80.37	92.99
2.00	106.76	100.47	95.46	82.11	95.75
3.00	108.69	103.24	100.06	84.33	98.44
4.00	106.35	101.48	98.88	84.40	95.84
5.00	110.05	101.01	99.98	84.95	98.35
6.00	110.30	106.35	101.44	86.65	97.27
7.00	109.04	103.53	101.17	86.64	100.16
8.00	109.06	105.76	106.55	87.00	99.64
9.00	107.03	105.48	103.78	86.90	97.96
10.00	110.01	108.69	106.07	88.53	98.82
11.00	110.13	106.06	105.22	90.37	100.90
12.00	110.51	107.87	105.05	93.66	101.30
13.00	110.63	108.16	104.47	91.89	98.92
14.00	109.52	103.94	105.72	88.97	99.04
15.00	112.08	107.69	108.74	93.60	101.82
16.00	112.16	107.52	105.23	88.13	97.46
17.00	111.64	110.53	110.79	93.79	100.59
18.00	113.32	110.05	108.02	94.70	100.29
19.00	112.42	106.60	108.60	90.79	99.61
20.00	107.43	110.36	108.21	94.28	98.01
21.00	109.82	107.95	108.83	95.32	99.61
22.00	113.30	109.09	105.58	93.54	100.06
23.00	110.82	110.83	108.65	95.40	100.62
24.00	113.18	112.01	108.24	97.66	100.01
25.00	113.00	110.54	109.41	97.03	101.30
26.00	112.17	111.81	111.73	95.77	99.70
27.00	114.49	113.21	111.32	96.95	101.40
28.00	112.65	113.65	110.94	97.98	100.93
29.00	112.50	113.16	110.70	96.36	101.03
30.00	118.74	117.23	113.92	101.26	105.67
31.00	116.48	116.33	113.50	101.88	104.57
32.00	121.21	119.95	118.51	104.40	108.74
33.00	119.48	119.42	116.93	104.35	106.94
34.00	121.70	121.47	119.81	106.05	109.09
35.00	122.36	122.11	120.45	106.95	110.25
36.00	119.86	121.18	119.22	105.50	108.18
37.00	116.92	118.11	117.06	102.21	104.64
38.00	117.47	117.71	116.49	100.94	103.43
39.00	116.53	117.34	116.39	102.11	103.90
40.00	114.53	115.86	115.41	99.34	101.35
41.00	116.77	117.81	116.48	100.84	101.84
42.00	111.79	113.54	114.53	96.02	97.86
43.00	114.33	116.79	115.90	97.72	99.20
44.00	114.24	116.54	116.27	98.66	98.02
45.00	110.89	112.39	114.67	95.49	97.09
46.00	112.25	115.17	114.27	97.48	99.05
47.00	111.34	111.12	112.16	95.06	97.61
48.00	111.06	113.24	114.14	93.51	95.24
49.00	110.49	111.99	112.46	93.02	92.74
50.00	111.47	113.19	113.37	94.11	93.87
51.00	112.00	114.84	114.24	95.27	94.64
52.00	111.39	113.67	115.56	93.13	96.15
53.00	112.88	115.21	115.37	96.36	97.87
54.00	108.50	108.74	110.60	91.23	95.65
55.00	113.07	115.09	114.28	94.56	96.67
56.00	109.50	110.09	112.31	91.84	94.91
57.00	110.64	112.67	114.08	93.15	95.36
58.00	108.63	111.19	110.29	90.18	95.71
59.00	107.39	109.88	112.40	89.64	93.82
60.00	110.50	110.94	111.33	89.70	94.44
61.00	109.57	112.23	113.07	90.57	94.27
62.00	107.94	112.44	111.27	92.57	94.34
63.00	109.97	114.00	114.55	91.75	94.01
64.00	108.20	111.64	111.50	88.77	92.59
65.00	108.90	110.39	110.92	91.36	91.69
66.00	108.09	109.55	112.64	89.53	94.24
67.00	107.33	112.23	113.46	92.33	94.04
68.00	106.72	110.56	114.01	89.05	91.57
69.00	109.47	112.26	113.24	90.15	94.66
70.00	104.06	107.62	111.72	88.33	96.86
71.00	108.26	109.98	112.89	88.79	93.89
72.00	107.10	110.06	113.56	89.41	94.22
73.00	107.96	110.84	110.13	90.07	95.75
74.00	107.11	112.56	112.33	89.33	92.84
75.00	106.57	110.52	108.56	90.70	93.29
76.00	108.50	112.06	110.73	89.07	93.49
77.00	106.86	110.69	111.32	89.82	93.35
78.00	106.93	109.06	110.27	88.35	93.53
79.00	104.94	108.79	108.52	89.49	94.11
80.00	103.99	109.56	110.35	87.38	94.77
81.00	108.78	112.43	111.66	88.85	94.40
82.00	104.79	108.64	110.33	88.72	93.85
83.00	104.27	108.70	110.06	86.79	92.76
84.00	104.27	109.98	110.35	88.37	92.48
85.00	103.85	108.80	108.93	90.10	94.48
86.00	104.19	104.89	111.84	85.58	94.77
87.00	105.21	110.44	108.91	87.94	94.51
88.00	103.23	109.52	109.25	85.99	92.35
89.00	104.06	109.78	110.26	88.62	93.36
90.00	104.98	107.73	109.53	86.16	93.16
91.00	101.46	108.38	108.78	87.50	95.32
92.00	104.42	107.70	109.50	86.90	94.37
93.00	103.47	105.47	109.32	87.72	91.77
94.00	102.16	106.18	107.84	87.30	93.14
95.00	103.58	108.53	110.08	87.84	95.00
96.00	102.39	108.47	108.60	88.09	94.08
97.00	104.36	106.51	108.12	88.26	94.90
98.00	99.79	107.66	108.31	88.24	90.57
99.00	102.19	107.93	110.31	87.16	93.99
100.00	102.87	107.82	107.50	88.79	94.88
101.00	101.68	106.31	108.47	87.91	95.45
102.00	102.54	106.15	109.87	86.79	89.70
103.00	100.62	105.98	108.10	86.61	92.23
104.00	99.32	104.06	107.37	85.93	92.49
105.00	99.59	106.86	107.07	88.80	93.63
106.00	101.82	105.78	105.15	88.86	95.09
107.00	100.39	105.90	107.80	87.56	92.50
108.00	101.64	106.48	105.83	86.50	94.01
109.00	100.76	104.04	107.36	87.16	92.64
110.00	102.11	105.06	108.47	88.17	91.63
111.00	101.34	104.11	107.28	86.90	93.75
112.00	102.55	106.66	106.85	87.39	94.40
113.00	101.34	106.30	109.09	86.49	93.94
114.00	99.75	105.62	107.35	85.77	93.20
115.00	98.77	104.98	105.12	87.92	92.78
116.00	99.69	106.98	105.97	86.96	93.29
117.00	99.15	104.60	105.37	85.45	94.52
118.00	98.65	102.20	107.84	89.42	94.69
119.00	100.44	104.74	106.85	85.42	93.08
120.00	100.78	104.65	107.99	86.88	92.78
121.00	99.44	104.30	107.92	88.25	93.52
122.00	98.43	103.97	109.65	88.15	93.97
123.00	98.48	103.29	106.36	86.44	93.21
124.00	97.43	104.64	108.00	88.15	95.43
125.00	98.00	102.93	106.75	86.84	93.10
126.00	96.96	103.31	104.58	85.07	90.56
127.00	97.99	105.78	104.38	88.34	94.97
128.00	100.53	102.62	101.93	84.20	92.07
129.00	99.42	103.31	107.15	86.91	94.65
130.00	97.24	103.91	106.41	87.75	90.33
131.00	98.83	102.70	108.80	89.37	91.99
132.00	98.58	103.51	105.15	85.51	92.92
133.00	99.57	102.61	106.62	88.44	93.48
134.00	96.32	103.93	105.07	83.07	92.51
135.00	97.99	102.11	106.88	86.52	92.86
136.00	97.89	103.56	103.37	88.27	89.19
137.00	99.18	103.65	105.40	89.58	95.32
138.00	96.01	102.08	106.64	88.61	93.85
139.00	98.28	101.61	104.71	87.75	94.28
140.00	97.61	103.02	107.41	87.74	91.72
141.00	96.33	102.21	105.46	89.28	93.84
142.00	96.28	100.94	105.99	88.24	93.21
143.00	95.90	103.06	105.69	89.00	95.03
144.00	97.72	100.75	105.19	87.44	92.84
145.00	95.80	102.45	105.21	87.88	92.32
146.00	94.35	101.79	104.81	86.77	95.02
147.00	97.20	101.52	105.38	87.73	93.61
148.00	95.32	103.25	107.49	87.53	91.79
149.00	95.39	103.79	106.18	87.92	90.91
150.00	94.71	102.33	103.84	87.83	93.62
151.00	93.64	103.23	102.45	89.30	94.80
152.00	94.86	102.61	105.23	88.05	92.54
153.00	94.69	102.00	103.40	89.46	94.22
154.00	89.45	99.99	105.51	86.24	93.33
155.00	92.96	99.37	103.36	88.45	95.76
156.00	94.75	100.06	104.46	87.74	94.43
