time ASI [ms]	maximum liquid length [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
-0.1	0	0	0.1
-0.095	0	0	0.1
-0.09	0	0	0.1
-0.085	0	0	0.1
-0.08	0	0	0.1
-0.075	0	0	0.1
-0.07	0	0	0.1
-0.065	0	0	0.1
-0.06	0	0	0.1
-0.055	0	0	0.1
-0.05	0	0	0.1
-0.045	0	0	0.1
-0.04	0	0	0.1
-0.035	0	0	0.1
-0.03	0	0	0.1
-0.025	0	0	0.1
-0.02	0	0	0.1
-0.015	0	0	0.1
-0.01	0	0	0.1
-0.005	0	0	0.1
0	0	0	0.1
0.005	0.46394	0.29237	0.23415
0.01	1.2657	0.52419	0.34051
0.015	2.3624	0.60748	0.37873
0.02	3.8346	0.33025	0.25153
0.025	5.3031	0.10931	0.15015
0.03	6.4195	0.060259	0.12765
0.035	7.263	0.13502	0.16195
0.04	7.8618	0.15254	0.16999
0.045	8.2861	0.21062	0.19664
0.05	8.4469	0.25867	0.21868
0.055	8.4416	0.37437	0.27177
0.06	8.4137	0.45956	0.31086
0.065	8.3825	0.34303	0.25739
0.07	8.3227	0.40126	0.28411
0.075	8.3062	0.47261	0.31685
0.08	8.331	0.42125	0.29328
0.085	8.4304	0.38265	0.27557
0.09	8.5417	0.3943	0.28092
0.095	8.5598	0.41597	0.29086
0.1	8.6033	0.37639	0.2727
0.105	8.7034	0.41228	0.28917
0.11	8.8508	0.35244	0.26171
0.115	8.9697	0.44089	0.30229
0.12	9.0505	0.53944	0.34751
0.125	9.1388	0.49959	0.32923
0.13	9.2267	0.4637	0.31276
0.135	9.282	0.45999	0.31106
0.14	9.3349	0.41442	0.29015
0.145	9.4225	0.46535	0.31352
0.15	9.4627	0.51542	0.33649
0.155	9.4964	0.47244	0.31677
0.16	9.5766	0.47272	0.3169
0.165	9.6006	0.49982	0.32934
0.17	9.5976	0.47844	0.31953
0.175	9.6164	0.41505	0.29044
0.18	9.6831	0.34113	0.25652
0.185	9.7852	0.38408	0.27623
